Rank,Movie Title,Year of Release,Run Time (minutes),Rating,Star Rating,Metascore,Number of Votes,Gross Revenue in millions (USD)
867,Mother,2009,129,R,7.7,79,68939,0.55
868,Fantasia,1940,124,G,7.7,96,101106,76.41
869,Beasts of No Nation,2015,137,TV-MA,7.7,79,84945,0.08
870,Run Lola Run,1998,80,R,7.7,77,203711,7.27
871,The Verdict,1982,129,R,7.7,77,44099,54.0
872,Black Book,2006,145,R,7.7,71,79054,4.4
873,Finding Neverland,2004,106,PG,7.7,67,209977,51.68
874,The Longest Day,1962,178,G,7.7,75,57993,39.1
875,Porco Rosso,1992,94,PG,7.7,83,96472,
876,The Man from Nowhere,2010,119,R,7.7,,72858,0.01
877,The Quiet Man,1952,129,Passed,7.7,85,40992,10.55
878,Short Cuts,1993,188,R,7.7,81,46534,6.11
879,Kubo and the Two Strings,2016,101,PG,7.7,84,135525,48.02
880,Breathless,1960,90,Not Rated,7.7,,85726,0.34
881,Waking Life,2001,99,R,7.7,84,66003,2.89
882,Open Your Eyes,1997,119,R,7.7,,71875,0.37
883,Fantastic Planet,1973,72,PG,7.7,73,35073,0.19
884,Frost/Nixon,2008,122,R,7.7,80,110925,18.59
885,The Broken Circle Breakdown,2012,111,Not Rated,7.7,70,42481,0.18
886,Dreams,1990,119,PG,7.7,,28061,1.96
887,Perfect Strangers,2016,96,,7.7,,69081,
888,Nebraska,2013,115,R,7.7,86,121028,17.65
889,Night on Earth,1991,129,R,7.7,68,63948,2.02
890,Invasion of the Body Snatchers,1956,80,Approved,7.7,92,52926,
891,The African Queen,1951,105,PG,7.7,91,82279,0.54
892,Taste of Cherry,1997,95,Not Rated,7.7,80,34292,0.31
893,The Caine Mutiny,1954,124,Not Rated,7.7,63,29036,21.75
894,The Magdalene Sisters,2002,114,R,7.7,83,28018,4.89
895,Happy Together,1997,96,Not Rated,7.7,70,32469,0.19
896,The Motorcycle Diaries,2004,126,R,7.7,75,103570,16.78
897,Zulu,1964,138,Not Rated,7.7,77,41449,
898,The Double Life of Véronique,1991,98,R,7.7,86,51490,2.0
899,When Marnie Was There,2014,103,PG,7.7,72,44927,0.77
900,The Little Prince,2015,108,PG,7.7,70,64993,1.34
901,The Lady Vanishes,1938,96,Not Rated,7.7,98,55497,
902,Hard Boiled,1992,128,R,7.7,,52741,
903,Black Narcissus,1947,101,Not Rated,7.7,86,26595,
904,Good Bye Lenin!,2003,121,R,7.7,68,150319,4.06
905,Marty,1955,90,Not Rated,7.7,82,25989,
906,Wait Until Dark,1967,108,Not Rated,7.7,81,32589,17.55
907,A Man for All Seasons,1966,120,G,7.7,72,36286,28.35
908,Scarface,1932,93,PG,7.7,90,29423,
909,Key Largo,1948,100,Approved,7.7,,43083,
910,Cape Fear,1962,106,Passed,7.7,76,30730,
911,The Purple Rose of Cairo,1985,82,PG,7.7,75,53611,10.63
912,Hedwig and the Angry Inch,2001,95,R,7.7,85,36813,3.03
913,The Salesman,2016,124,PG-13,7.7,85,63251,2.4
914,Down by Law,1986,107,R,7.7,75,54035,1.44
915,Confessions,2010,106,Not Rated,7.7,,41020,
916,Adam's Apples,2005,94,R,7.7,51,53058,0.0
917,Evil,2003,113,Not Rated,7.7,61,40599,0.02
918,The Triplets of Belleville,2003,80,PG-13,7.7,91,56151,7.0
919,The Experiment,2001,120,R,7.7,59,95333,0.14
920,Joint Security Area,2000,110,Not Rated,7.7,58,32902,
921,Fireworks,1997,103,,7.7,83,32177,0.23
922,The Girl Who Leapt Through Time,2006,98,TV-PG,7.7,66,69189,
923,In America,2002,105,PG-13,7.7,76,43904,15.54
924,Love and Death,1975,85,PG,7.7,89,39982,
925,After the Wedding,2006,120,R,7.7,78,36088,0.41
926,Jules and Jim,1962,105,Not Rated,7.7,97,43450,
927,The Breadwinner,2017,94,PG-13,7.7,78,27443,0.31
928,Zelig,1983,79,PG,7.7,,43368,11.8
929,The Muppet Christmas Carol,1992,85,G,7.7,64,64767,27.28
930,The Past,2013,130,PG-13,7.7,85,50156,1.33
931,The Edge of Heaven,2007,122,Not Rated,7.7,85,32977,0.74
932,Harry Potter and the Sorcerer's Stone,2001,152,PG,7.6,65,823805,317.58
933,Once Upon a Time in Hollywood,2019,161,R,7.6,83,799501,142.5
934,American Psycho,2000,102,R,7.6,64,675843,15.07
935,Saw,2004,103,R,7.6,46,443620,56.0
936,Superbad,2007,113,R,7.6,76,611482,121.46
937,Stardust,2007,127,PG-13,7.6,66,279575,38.63
938,Watchmen,2009,162,R,7.6,56,569317,107.51
939,300,2006,117,R,7.6,52,845648,210.61
940,The Fifth Element,1997,126,PG-13,7.6,52,491769,63.54
941,Office Space,1999,89,R,7.6,68,279761,10.82
942,What We Do in the Shadows,2014,86,R,7.6,76,193286,3.33
943,Guardians of the Galaxy Vol. 2,2017,136,PG-13,7.6,67,734875,389.81
944,Star Wars: Episode III - Revenge of the Sith,2005,140,PG-13,7.6,68,822784,380.26
945,Kick-Ass,2010,117,R,7.6,66,581598,48.07
946,RoboCop,1987,102,R,7.6,70,271863,53.42
947,Deadpool 2,2018,119,R,7.6,66,618292,324.59
948,Moneyball,2011,133,PG-13,7.6,87,448572,75.61
949,Kung Fu Panda,2008,92,PG,7.6,74,498024,215.43
950,The Others,2001,104,PG-13,7.6,74,381543,96.52
951,A Star Is Born,2018,136,R,7.6,88,405062,215.29
952,End of Watch,2012,109,R,7.6,68,260588,41.0
953,The Butterfly Effect,2004,113,R,7.6,30,508741,57.94
954,Hell or High Water,2016,102,R,7.6,88,242621,27.01
955,Mulan,1998,87,G,7.6,71,304922,120.62
956,Dawn of the Planet of the Apes,2014,130,PG-13,7.6,79,456631,208.55
957,Minority Report,2002,145,PG-13,7.6,80,571300,132.07
958,The Blind Side,2009,129,PG-13,7.6,53,351296,255.96
959,True Grit,2010,110,PG-13,7.6,80,350653,171.24
960,Eastern Promises,2007,100,R,7.6,83,254224,17.11
961,The Machinist,2004,101,R,7.6,61,406253,1.08
962,The Thin Red Line,1998,170,R,7.6,78,195240,36.4
963,The Birds,1963,119,PG-13,7.6,90,198797,11.4
964,My Cousin Vinny,1992,120,R,7.6,68,135280,52.93
965,Despicable Me,2010,95,PG,7.6,72,568188,251.51
966,The Fly,1986,96,R,7.6,79,194423,40.46
967,The Royal Tenenbaums,2001,110,R,7.6,76,306123,52.36
968,Snow White and the Seven Dwarfs,1937,83,Approved,7.6,96,209634,184.93
969,Gone Baby Gone,2007,114,R,7.6,72,282977,20.3
970,Lethal Weapon,1987,109,R,7.6,68,269580,65.21
971,Match Point,2005,124,R,7.6,72,224164,23.09
972,The Road Warrior,1981,96,R,7.6,77,188505,12.47
973,The Mitchells vs the Machines,2021,114,PG,7.6,81,120318,
974,Dark Waters,2019,126,PG-13,7.6,73,95759,
975,The Raid: Redemption,2011,101,R,7.6,73,212564,4.11
976,Rushmore,1998,93,R,7.6,86,193790,17.11
977,The Skin I Live In,2011,120,R,7.6,70,160807,3.19
978,After Hours,1985,97,R,7.6,90,76070,10.6
979,Rebel Without a Cause,1955,111,PG-13,7.6,89,95506,
980,The Jungle Book,1967,78,G,7.6,65,193021,141.84
981,50/50,2011,100,R,7.6,72,338446,35.01
982,Die Hard with a Vengeance,1995,128,R,7.6,58,399450,100.01
983,Ponyo,2008,101,G,7.6,86,154499,15.09
984,Searching,2018,102,PG-13,7.6,71,175574,26.02
985,United 93,2006,111,R,7.6,90,109273,31.57
986,The Last King of Scotland,2006,123,R,7.6,74,192531,17.61
987,Sabrina,1954,113,Passed,7.6,72,68393,
988,21 Grams,2003,124,R,7.6,70,242636,16.29
989,I Am Sam,2001,132,PG-13,7.6,28,153298,40.31
990,The Bridges of Madison County,1995,135,PG-13,7.6,69,86226,71.52
991,From Here to Eternity,1953,118,Passed,7.6,85,49508,30.5
992,Barton Fink,1991,116,R,7.6,69,126490,6.15
993,25th Hour,2002,135,R,7.6,69,182668,13.06
994,The Taking of Pelham One Two Three,1974,104,R,7.6,68,33562,2.49
995,The Invisible Man,1933,71,TV-PG,7.6,87,38074,
996,Philomena,2013,98,PG-13,7.6,77,102591,37.71
997,A Very Long Engagement,2004,133,R,7.6,76,75171,6.17
998,Control,2007,122,R,7.6,78,67479,0.87
999,Shine,1996,105,PG-13,7.6,87,55756,35.81
1,Cell 211,2009,113,,7.6,,69658,
