Rank,Movie Title,Year of Release,Run Time (minutes),Rating,Star Rating,Metascore,Number of Votes,Gross Revenue in millions (USD)
149,The Truman Show,1998,103,PG,8.2,90,1144587,125.62
150,Kill Bill: Vol. 1,2003,111,R,8.2,69,1157800,70.1
151,The Thing,1982,109,16+,8.2,57,446826,13.78
152,Snatch,2000,102,R,8.2,55,885664,30.33
153,Green Book,2018,130,PG-13,8.2,69,534294,85.08
154,Casino,1995,178,R,8.2,73,544697,42.44
155,V for Vendetta,2005,132,R,8.2,62,1153451,70.51
156,1917,2019,119,R,8.2,78,640812,159.23
157,Some Like It Hot,1959,121,Passed,8.2,98,276644,25.0
158,Howl's Moving Castle,2004,119,PG,8.2,82,423395,4.71
159,The Sixth Sense,1999,107,PG-13,8.2,64,1023584,293.51
160,Die Hard,1988,132,R,8.2,72,911897,83.01
161,A Beautiful Mind,2001,135,PG-13,8.2,72,962254,170.74
162,Finding Nemo,2003,100,G,8.2,90,1082558,380.84
163,Unforgiven,1992,130,R,8.2,85,426049,101.16
164,L.A. Confidential,1997,138,R,8.2,91,600778,64.62
165,Chinatown,1974,130,R,8.2,92,339603,
166,Pan's Labyrinth,2006,118,R,8.2,98,688214,37.63
167,Gone with the Wind,1939,238,Passed,8.2,97,326374,198.68
168,Downfall,2004,156,R,8.2,82,366628,5.51
169,The Father,2020,97,PG-13,8.2,88,176744,
170,The Secret in Their Eyes,2009,129,R,8.2,80,216894,6.39
171,Monty Python and the Holy Grail,1975,91,PG,8.2,91,557984,1.23
172,Ran,1985,162,R,8.2,97,131721,4.14
173,The Great Escape,1963,172,Approved,8.2,86,252616,12.1
174,The Elephant Man,1980,124,PG,8.2,78,251635,
175,For a Few Dollars More,1965,132,R,8.2,74,266879,15.0
176,Tumbbad,2018,104,Not Rated,8.2,,55001,
177,Demon Slayer the Movie: Mugen Train,2020,117,R,8.2,72,67727,47.7
178,Dial M for Murder,1954,105,PG,8.2,75,183488,0.01
179,All About Eve,1950,138,Passed,8.2,98,135712,0.01
180,Rashomon,1950,88,Not Rated,8.2,98,175332,0.1
181,Drishyam 2,2022,140,Not Rated,8.2,,40062,
182,Gangs of Wasseypur,2012,321,Not Rated,8.2,89,100680,
183,Klaus,2019,96,PG,8.2,65,171345,
184,The Wages of Fear,1953,131,Not Rated,8.2,85,64314,
185,Yojimbo,1961,110,Not Rated,8.2,93,127777,
186,Z,1969,127,M/PG,8.2,86,30478,0.08
187,The Treasure of the Sierra Madre,1947,126,Passed,8.2,98,129615,5.01
188,Drishyam,2015,163,Not Rated,8.2,,90486,0.74
189,Miracle in Cell No. 7,2019,132,TV-14,8.2,,52995,
190,Zindagi Na Milegi Dobara,2011,155,Not Rated,8.2,,82970,3.11
191,Swades,2004,189,Not Rated,8.2,,94918,1.22
192,Andhadhun,2018,139,Not Rated,8.2,,98812,1.37
193,Children of Heaven,1997,89,PG,8.2,77,78143,0.93
194,To Be or Not to Be,1942,99,Passed,8.2,86,40794,
195,Pather Panchali,1955,125,Not Rated,8.2,,36191,0.54
196,The Kid,1921,68,Passed,8.2,,131329,5.45
197,K.G.F: Chapter 1,2018,156,Not Rated,8.2,,93651,
198,Vikram Vedha,2017,147,Not Rated,8.2,,48735,
199,Baahubali 2: The Conclusion,2017,167,Not Rated,8.2,,109142,20.19
200,Sherlock Jr.,1924,45,Passed,8.2,,53995,0.98
201,Dersu Uzala,1975,142,G,8.2,,32443,
202,My Father and My Son,2005,112,Not Rated,8.2,,89552,
203,Uri: The Surgical Strike,2019,138,Not Rated,8.2,,69018,4.19
204,Umberto D.,1952,89,Not Rated,8.2,92,27284,0.07
205,Rangasthalam 1985,2018,170,Not Rated,8.2,,26615,3.51
206,Bhaag Milkha Bhaag,2013,186,Not Rated,8.2,,70602,1.63
207,Paan Singh Tomar,2012,135,Not Rated,8.2,,37331,0.04
208,The Deer Hunter,1978,183,R,8.1,86,351526,48.98
209,Hacksaw Ridge,2016,139,R,8.1,71,566098,67.21
210,The Exorcist,1973,122,R,8.1,81,430951,232.91
211,Prisoners,2013,153,R,8.1,70,768868,61.0
212,Stand by Me,1986,89,R,8.1,75,425847,52.29
213,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,PG-13,8.1,63,1172972,305.41
214,Gone Girl,2014,149,R,8.1,79,1028381,167.77
215,Jaws,1975,124,PG,8.1,87,639019,260.0
216,Mad Max: Fury Road,2015,120,R,8.1,90,1047377,154.06
